epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
001,2.751,0.675,29.398,0.744,0.120,0.005,0.008,0.009,0.001
002,2.053,0.673,3.684,0.653,0.175,0.491,0.173,0.259,0.053
003,1.857,0.666,2.966,0.500,0.241,0.541,0.251,0.333,0.087
004,1.694,0.637,2.590,0.443,0.275,0.623,0.302,0.382,0.116
005,1.628,0.632,2.311,0.391,0.291,0.648,0.315,0.402,0.125
006,1.534,0.617,2.126,0.366,0.303,0.684,0.342,0.420,0.144
007,1.504,0.614,2.075,0.348,0.310,0.683,0.346,0.426,0.142
008,1.467,0.600,1.980,0.329,0.330,0.708,0.370,0.450,0.156
009,1.472,0.609,1.908,0.318,0.341,0.713,0.387,0.461,0.170
010,1.492,0.622,1.918,0.298,0.346,0.712,0.395,0.465,0.174
011,1.380,0.590,1.779,0.297,0.339,0.733,0.389,0.464,0.175
012,1.417,0.601,1.837,0.289,0.352,0.727,0.397,0.475,0.174
013,1.390,0.595,1.779,0.286,0.363,0.738,0.409,0.486,0.183
014,1.370,0.587,1.710,0.282,0.375,0.739,0.428,0.498,0.196
015,1.355,0.588,1.694,0.273,0.384,0.742,0.433,0.506,0.196
016,1.383,0.601,1.729,0.271,0.386,0.752,0.441,0.511,0.202
017,1.346,0.586,1.692,0.269,0.392,0.749,0.445,0.515,0.207
018,1.356,0.591,1.646,0.263,0.387,0.759,0.441,0.512,0.205
019,1.363,0.597,1.660,0.265,0.398,0.757,0.451,0.522,0.210
020,1.332,0.592,1.634,0.260,0.402,0.764,0.458,0.527,0.215
021,1.325,0.591,1.616,0.253,0.406,0.756,0.460,0.528,0.214
022,1.349,0.596,1.638,0.252,0.412,0.752,0.464,0.532,0.217
023,1.307,0.585,1.611,0.253,0.410,0.754,0.461,0.531,0.216
024,1.317,0.587,1.604,0.252,0.414,0.752,0.467,0.534,0.219
025,1.293,0.575,1.599,0.253,0.412,0.758,0.465,0.534,0.218
026,1.322,0.597,1.559,0.247,0.422,0.749,0.475,0.540,0.224
027,1.325,0.588,1.609,0.250,0.425,0.753,0.477,0.543,0.225
028,1.338,0.601,1.588,0.244,0.427,0.755,0.478,0.546,0.226
029,1.248,0.572,1.489,0.244,0.426,0.767,0.482,0.548,0.228
030,1.260,0.576,1.506,0.246,0.427,0.762,0.481,0.547,0.228
031,1.326,0.592,1.583,0.243,0.430,0.763,0.484,0.550,0.229
032,1.280,0.579,1.503,0.241,0.432,0.761,0.484,0.551,0.228
033,1.269,0.574,1.532,0.245,0.431,0.765,0.484,0.552,0.229
034,1.318,0.589,1.569,0.238,0.431,0.765,0.483,0.552,0.229
035,1.267,0.576,1.515,0.238,0.433,0.768,0.486,0.553,0.231
036,1.268,0.583,1.501,0.236,0.437,0.767,0.490,0.557,0.232
037,1.281,0.584,1.506,0.239,0.437,0.765,0.490,0.556,0.233
038,1.315,0.596,1.533,0.236,0.439,0.763,0.492,0.557,0.234
